Make,Model,Year,Color,LicensePlate,RentalPricePerDay,Status
Mercedes-Benz,E-Class,2021,White,ABC123,50,AVAILABLE
Honda,CR-V,2022,Black,DEF456,30,AVAILABLE
Toyota,Corolla,2020,Silver,GHI789,20,AVAILABLE
Ford,Mustang,2021,Red,JKL012,75,AVAILABLE
Ford,F-150,2019,Gray,MNO345,65,AVAILABLE
Jeep,Wrangler,2021,White,PQR678,45,AVAILABLE
Audi,A4,2021,Blue,STU901,60,AVAILABLE
BMW,X5,2020,White,VWX234,70,AVAILABLE
Nissan,Altima,2021,Silver,YZABCD1,40,AVAILABLE
Chevrolet,Cruze,2022,Black,DEFGHI1,35,AVAILABLE
Volkswagen,Jetta,2020,Sirver,JKLMNO1,25,AVAILABLE
Hyundai,Sonata,2021,White,PQRSTU1,30,AVAILABLE
Kia,Sportage,2019,Black,VWXYZA1,45,AVAILABLE
Subaru,Outback,2021,Gray,BCDEFG1,55,AVAILABLE
Mazda,3,2022,Black,HIJKLM1,35,AVAILABLE
Volvo,XC60,2020,White,NOPQRS1,65,AVAILABLE
Lexus,ES,2021,Blue,TUVWXY1,55,AVAILABLE
Infiniti,Q50,2019,White,YZABCD2,50,AVAILABLE
Cadillac,XT5,2021,Red,DEFGHI2,70,AVAILABLE
GMC,Yukon,2022,White,JKLMNO2,80,AVAILABLE
